"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"29/04/2024";"0000";"19,2";"81,0";"1007,6";"2,1";"140,0";"7,5";"0,00";"21,1";"";""
"29/04/2024";"1200";"19,9";"92,0";"1005,5";"2,1";"320,0";"10,0";"";"";"19,0";"0,1"
"29/04/2024";"1800";"20,9";"98,0";"1004,8";"1,5";"140,0";"10,0";"";"";"";""
"30/04/2024";"0000";"20,5";"96,0";"1003,4";"2,1";"360,0";"10,0";"0,00";"21,1";"";""
"30/04/2024";"1200";"20,7";"96,0";"1006,7";"4,1";"360,0";"10,0";"";"";"20,0";"99,1"
"30/04/2024";"1800";"19,9";"96,0";"1005,9";"1,5";"50,0";"10,0";"";"";"";""
"01/05/2024";"0000";"19,8";"96,0";"1006,4";"2,1";"90,0";"10,0";"0,00";"21,1";"";""
"01/05/2024";"1200";"20,2";"97,0";"1003,1";"1,0";"270,0";"10,0";"";"";"19,4";"60,5"
"01/05/2024";"1800";"20,7";"98,0";"1004,2";"2,1";"320,0";"10,0";"";"";"";""
"02/05/2024";"0000";"19,7";"98,0";"1002,2";"2,1";"140,0";"10,0";"0,00";"20,9";"";""
"02/05/2024";"1200";"20,2";"99,0";"998,4";"0,0";"0,0";"10,0";"";"";"19,4";"99,0"
"02/05/2024";"1800";"20,3";"96,0";"1000,6";"2,1";"180,0";"10,0";"";"";"";""
"03/05/2024";"0000";"17,8";"95,0";"1005,6";"3,1";"140,0";"10,0";"0,00";"18,5";"";""
"03/05/2024";"1200";"16,9";"94,0";"1009,8";"3,1";"140,0";"10,0";"";"";"16,4";"19,9"
"03/05/2024";"1800";"18,5";"90,0";"1007,1";"2,1";"140,0";"10,0";"";"";"";""
"04/05/2024";"0000";"18,4";"97,0";"1006,8";"3,1";"140,0";"10,0";"0,00";"23,9";"";""
"04/05/2024";"1200";"19,8";"99,0";"1007,6";"1,0";"90,0";"10,0";"";"";"18,2";"7,6"
"04/05/2024";"1800";"23,5";"90,0";"1006,8";"1,0";"140,0";"10,0";"";"";"";""
"05/05/2024";"0000";"21,2";"96,0";"1009,1";"2,1";"360,0";"10,0";"4,30";"29,5";"";""
"05/05/2024";"1200";"20,3";"95,0";"1010,0";"0,5";"140,0";"10,0";"";"";"19,4";"23,4"
"05/05/2024";"1800";"28,9";"71,0";"1007,1";"1,5";"50,0";"7,5";"";"";"";""
"06/05/2024";"0000";"22,9";"91,0";"1007,9";"1,5";"140,0";"5,0";"7,90";"33,3";"";""
"06/05/2024";"1200";"25,9";"71,0";"1005,1";"2,6";"180,0";"5,0";"";"";"19,8";"0,5"
"06/05/2024";"1800";"32,9";"48,0";"1001,9";"2,6";"360,0";"2,5";"";"";"";""
"07/05/2024";"0000";"23,4";"86,0";"1004,0";"4,1";"140,0";"3,8";"7,60";"33,4";"";""
"07/05/2024";"1200";"24,5";"73,0";"1003,8";"9,3";"50,0";"5,0";"";"";"20,2";"0,0"
"07/05/2024";"1800";"32,9";"50,0";"1000,4";"2,1";"360,0";"6,3";"";"";"";""
"08/05/2024";"0000";"26,9";"72,0";"1001,0";"1,5";"360,0";"10,0";"4,00";"32,5";"";""
"08/05/2024";"1200";"27,8";"59,0";"1000,2";"";"";"8,8";"";"";"23,5";"0,0"
"08/05/2024";"1800";"23,9";"91,0";"1000,8";"3,1";"270,0";"10,0";"";"";"";""
"09/05/2024";"0000";"23,0";"89,0";"1006,7";"2,6";"270,0";"7,5";"7,00";"23,2";"";""
"09/05/2024";"1200";"17,1";"72,0";"1015,4";"0,5";"230,0";"5,0";"";"";"14,8";"5,7"
"09/05/2024";"1800";"21,7";"58,0";"1013,0";"0,0";"0,0";"5,0";"";"";"";""
"10/05/2024";"0000";"14,5";"79,0";"1014,6";"2,1";"140,0";"0,0";"0,00";"18,3";"";""
